Sun 6/19,0,17
Thu 6/16,0,30
Mon 6/13,0,25
Fri 6/10,1,38
Wed 6/8,0,19
Sun 6/5,1,18
Thu 6/2,1,11
Mon 5/30,1,36
Sat 5/28,1,31
Thu 5/26,1,31
Tue 5/24,0,19
Sun 5/22,0,24
Wed 5/18,1,28
Mon 5/16,0,26
Wed 5/11,1,29
Mon 5/9,1,40
Sat 4/16,1,24
Tue 6/16,1,25
Sun 6/14,1,37
Thu 6/11,1,22
Tue 6/9,0,27
Sun 6/7,0,19
Thu 6/4,1,26
Wed 5/27,1,26
Mon 5/25,0,23
Sat 5/23,1,40
Thu 5/21,1,33
Tue 5/19,1,34
Fri 5/15,1,32
Wed 5/13,1,18
Mon 5/11,1,33
Sat 5/9,0,23
Tue 5/5,0,19
Sun 5/3,1,22
Sat 4/25,1,39
Thu 4/23,1,40
Mon 4/20,1,22
Sat 4/18,1,34
